GraphID,Vertices,Edges,Connected,Algorithm,TotalCost,Operations,ExecutionTimeMs,CheaperAlgorithm,FasterAlgorithm
1,4,5,true,Prim,7.00,7,2.784,Equal,Kruskal
1,4,5,true,Kruskal,7.00,28,0.389,Equal,Kruskal
2,5,7,true,Prim,16.00,10,0.061,Equal,Kruskal
2,5,7,true,Kruskal,16.00,40,0.040,Equal,Kruskal
3,7,8,true,Prim,17.00,13,0.068,Equal,Kruskal
3,7,8,true,Kruskal,17.00,50,0.042,Equal,Kruskal
4,8,9,true,Prim,20.00,15,0.062,Equal,Kruskal
4,8,9,true,Kruskal,20.00,57,0.047,Equal,Kruskal
5,9,11,true,Prim,27.00,19,0.061,Equal,Kruskal
5,9,11,true,Kruskal,27.00,69,0.046,Equal,Kruskal
6,10,10,true,Prim,33.00,17,0.059,Equal,Kruskal
6,10,10,true,Kruskal,33.00,66,0.050,Equal,Kruskal
7,12,12,true,Prim,42.00,21,0.067,Equal,Kruskal
7,12,12,true,Kruskal,42.00,80,0.054,Equal,Kruskal
8,14,14,true,Prim,57.00,25,0.081,Equal,Kruskal
8,14,14,true,Kruskal,57.00,94,0.075,Equal,Kruskal
9,20,19,true,Prim,87.00,37,0.116,Equal,Kruskal
9,20,19,true,Kruskal,87.00,129,0.102,Equal,Kruskal
10,25,25,true,Prim,116.00,47,0.186,Equal,Kruskal
10,25,25,true,Kruskal,116.00,171,0.108,Equal,Kruskal
